[2022-06-07 15:04:31] 	 [user: testMail] 	 [staff user: admin] [https://bgmitko.bg:3000/product-management/renderPage/1] 	 [error: syntax error at or near "SEALECT"] 	 [/server/node_modules/pg-protocol/dist/parser.js] 	 [287]
[2022-06-07 15:04:36] 	 [user: testMail] 	 [staff user: admin] [https://bgmitko.bg:3000/product-management/renderPage/1] 	 [error: syntax error at or near "SEALECT"] 	 [/server/node_modules/pg-protocol/dist/parser.js] 	 [287]
[2022-06-07 15:06:26] 	 [user: testMail] 	 [staff user: admin] [https://bgmitko.bg:3000/product-management/renderPage/1] 	 [error: syntax error at or near "SEALECT"] 	 [/server/node_modules/pg-protocol/dist/parser.js] 	 [287]
[2022-06-07 15:06:26] 	 [user: testMail] 	 [staff user: admin] [https://bgmitko.bg:3000/product-management/renderPage/1] 	 [error: syntax error at or near "SEALECT"] 	 [/server/node_modules/pg-protocol/dist/parser.js] 	 [287]
[2022-06-07 15:06:27] 	 [user: testMail] 	 [staff user: admin] [https://bgmitko.bg:3000/product-management/renderPage/1] 	 [error: syntax error at or near "SEALECT"] 	 [/server/node_modules/pg-protocol/dist/parser.js] 	 [287]
[2022-06-07 15:06:27] 	 [user: testMail] 	 [staff user: admin] [https://bgmitko.bg:3000/product-management/renderPage/1] 	 [error: syntax error at or near "SEALECT"] 	 [/server/node_modules/pg-protocol/dist/parser.js] 	 [287]
[2022-06-07 15:06:28] 	 [user: testMail] 	 [staff user: admin] [https://bgmitko.bg:3000/product-management/renderPage/1] 	 [error: syntax error at or near "SEALECT"] 	 [/server/node_modules/pg-protocol/dist/parser.js] 	 [287]
[2022-06-07 15:06:28] 	 [user: testMail] 	 [staff user: admin] [https://bgmitko.bg:3000/product-management/renderPage/1] 	 [error: syntax error at or near "SEALECT"] 	 [/server/node_modules/pg-protocol/dist/parser.js] 	 [287]
[2022-06-07 15:06:29] 	 [user: testMail] 	 [staff user: admin] [https://bgmitko.bg:3000/product-management/renderPage/1] 	 [error: syntax error at or near "SEALECT"] 	 [/server/node_modules/pg-protocol/dist/parser.js] 	 [287]
[2022-06-08 12:58:06] 	 [user: testMail] 	 [staff user: -] [https://bgmitko.bg:3000/login] 	 [TypeError: Cannot read properties of undefined (reading 'tx')] 	 [/server/utils.js] 	 [30]
[2022-06-08 17:14:36] 	 [user: testMail] 	 [staff user: -] [https://bgmitko.bg:3000/login] 	 [TypeError: Cannot read properties of undefined (reading 'tx')] 	 [/server/utils.js] 	 [44]
[2022-06-08 17:19:00] 	 [user: -] 	 [staff user: -] [https://bgmitko.bg:3000/login] 	 [TypeError: Cannot read properties of undefined (reading 'tx')] 	 [/server/utils.js] 	 [51]
[2022-06-08 17:19:11] 	 [user: testMail] 	 [staff user: -] [https://bgmitko.bg:3000/login] 	 [TypeError: Cannot read properties of undefined (reading 'tx')] 	 [/server/utils.js] 	 [51]
[2022-06-08 17:20:14] 	 [user: testMail] 	 [staff user: -] [https://bgmitko.bg:3000/login] 	 [TypeError: Cannot read properties of undefined (reading 'tx')] 	 [/server/utils.js] 	 [51]
[2022-06-08 17:21:26] 	 [user: testMail] 	 [staff user: -] [https://bgmitko.bg:3000/login] 	 [TypeError: Cannot read properties of undefined (reading 'tx')] 	 [/server/utils.js] 	 [51]
[2022-06-08 18:19:03] 	 [user: -] 	 [staff user: -] [https://bgmitko.bg:3000/register] 	 [Error [ERR_HTTP_HEADERS_SENT]: Cannot set headers after they are sent to the client] 	 [/] 	 [372]
[2022-06-09 14:58:26] 	 [user: -] 	 [staff user: admin] [https://bgmitko.bg:3000/product-management/upload-image-page/37197] 	 [ReferenceError: checksum is not defined] 	 [/server/routes/productManagementRouter.js] 	 [623]
[2022-06-09 15:00:48] 	 [user: -] 	 [staff user: admin] [https://bgmitko.bg:3000/product-management/upload-image-page/37197] 	 [ReferenceError: checksum is not defined] 	 [/server/routes/productManagementRouter.js] 	 [623]
[2022-06-09 15:01:33] 	 [user: -] 	 [staff user: admin] [https://bgmitko.bg:3000/product-management/upload-image-page/37197] 	 [TypeError: checksum is not a function] 	 [/server/routes/productManagementRouter.js] 	 [624]
[2022-06-13 14:57:21] 	 [user: -] 	 [staff user: -] [https://bgmitko.bg:3000/js/products.js] 	 [undefined] 	 [/ReferenceError: nqmatakavafunkciqgg is not defined] 	 [89]
[2022-06-13 14:57:21] 	 [user: -] 	 [staff user: -] [https://bgmitko.bg:3000/js/products.js] 	 [undefined] 	 [/ReferenceError: nqmatakavafunkciqgg is not defined] 	 [89]
[2022-06-15 14:30:22] 	 [user: -] 	 [staff user: -] [Външен за системата файл.] 	 [Error: listen EADDRINUSE: address already in use :::3000] 	 [/] 	 [1372]
[2022-07-01 01:48:31] 	 [user: -] 	 [staff user: -] [Външен за системата файл.] 	 [Error: self-signed certificate in certificate chain] 	 [/] 	 [1531]
[2022-07-01 17:07:10] 	 [user: mitaka] 	 [staff user: -] [http://localhost:5000/checkout?vouchers=] 	 [error: null value in column "ip" of relation "auditlog" violates not-null constraint] 	 [/] 	 [287]
[2022-07-01 19:01:59] 	 [user: mitaka] 	 [staff user: -] [http://localhost:5000/checkout?vouchers=] 	 [error: null value in column "ip" of relation "auditlog" violates not-null constraint] 	 [/] 	 [287]
[2022-07-01 21:02:44] 	 [user: mitaka] 	 [staff user: -] [http://localhost:5000/checkout?vouchers=] 	 [error: null value in column "ip" of relation "auditlog" violates not-null constraint] 	 [/] 	 [287]
[2022-07-01 21:04:06] 	 [user: mitaka] 	 [staff user: -] [http://localhost:5000/checkout?vouchers=] 	 [error: null value in column "ip" of relation "auditlog" violates not-null constraint] 	 [/] 	 [287]
[2022-07-01 21:14:21] 	 [user: mitaka] 	 [staff user: -] [http://localhost:5000/checkout?vouchers=] 	 [error: null value in column "ip" of relation "auditlog" violates not-null constraint] 	 [/] 	 [287]
